import time: self [us] | cumulative | imported package
import time:       422 |        422 |   _io
import time:        20 |         20 |   marshal
import time:       387 |        387 |   posix
import time:       675 |       1503 | _frozen_importlib_external
import time:       555 |        555 |   time
import time:       413 |        967 | zipimport
import time:        44 |         44 |     _codecs
import time:       617 |        661 |   codecs
import time:       532 |        532 |   encodings.aliases
import time:       856 |       2048 | encodings
import time:       287 |        287 | encodings.utf_8
import time:        54 |         54 | _signal
import time:        34 |         34 |     _abc
import time:       119 |        152 |   abc
import time:       121 |        273 | io
import time:        37 |         37 |       _stat
import time:        60 |         96 |     stat
import time:       570 |        570 |     _collections_abc
import time:       212 |        212 |       genericpath
import time:        93 |        304 |     posixpath
import time:       361 |       1330 |   os
import time:        62 |         62 |   _sitebuiltins
import time:       269 |        269 |   encodings.utf_8_sig
import time:       644 |        644 |   _virtualenv
import time:       355 |        355 |   types
import time:       271 |        271 |     importlib
import time:       363 |        363 |     importlib._abc
import time:       163 |        796 |   importlib.util
import time:        52 |         52 |   importlib.machinery
import time:      1108 |       1108 |       enum
import time:       204 |        204 |         _sre
import time:       305 |        305 |           re._constants
import time:       395 |        699 |         re._parser
import time:       124 |        124 |         re._casefix
import time:       457 |       1482 |       re._compiler
import time:        89 |         89 |           itertools
import time:       110 |        110 |           keyword
import time:        58 |         58 |             _operator
import time:       341 |        399 |           operator
import time:       298 |        298 |           reprlib
import time:        38 |         38 |           _collections
import time:       846 |       1778 |         collections
import time:        27 |         27 |         _functools
import time:       532 |       2336 |       functools
import time:       255 |        255 |       copyreg
import time:       611 |       5790 |     re
import time:       658 |       6448 |   sitecustomize
import time:      2696 |      12648 | site
import time:       213 |        213 |     fnmatch
import time:        30 |         30 |     errno
import time:       555 |        555 |     zlib
import time:       267 |        267 |       _compression
import time:       507 |        507 |       _bz2
import time:       317 |       1091 |     bz2
import time:       718 |        718 |       _lzma
import time:       377 |       1095 |     lzma
import time:       760 |       3741 |   shutil
import time:      1079 |       1079 |             _ast
import time:       534 |        534 |             contextlib
import time:       893 |       2504 |           ast
import time:       747 |        747 |               _opcode
import time:       231 |        231 |               _opcode_metadata
import time:       315 |       1292 |             opcode
import time:       703 |       1994 |           dis
import time:       280 |        280 |           collections.abc
import time:       226 |        226 |           linecache
import time:       220 |        220 |             token
import time:        16 |         16 |             _tokenize
import time:       606 |        842 |           tokenize
import time:       265 |        265 |             _weakrefset
import time:       423 |        687 |           weakref
import time:      1367 |       7897 |         inspect
import time:        19 |         19 |           _typing
import time:      1381 |       1399 |         typing
import time:       700 |        700 |         gettext
import time:       579 |        579 |             _datetime
import time:       193 |        771 |           datetime
import time:       595 |        595 |           click._compat
import time:       323 |        323 |                   warnings
import time:       470 |        793 |                 threading
import time:       208 |       1000 |               click.globals
import time:       374 |       1373 |             click.utils
import time:       531 |       1904 |           click.exceptions
import time:       659 |       3927 |         click.types
import time:       360 |        360 |           click.parser
import time:       323 |        682 |         click.formatting
import time:       525 |        525 |         click.termui
import time:      1396 |      16525 |       click.core
import time:       321 |        321 |       click.decorators
import time:       312 |      17157 |     click
import time:        16 |      17173 |   click.exceptions
import time:       264 |        264 |   typer.colors
import time:       524 |        524 |       textwrap
import time:       243 |        243 |       _colorize
import time:       671 |       1437 |     traceback
import time:       334 |        334 |         glob
import time:       368 |        702 |       pathlib._abc
import time:        57 |         57 |           _winapi
import time:        26 |         26 |           nt
import time:        23 |         23 |           nt
import time:        23 |         23 |           nt
import time:        22 |         22 |           nt
import time:        21 |         21 |           nt
import time:        23 |         23 |           nt
import time:        21 |         21 |           nt
import time:       120 |        332 |         ntpath
import time:        20 |         20 |         pwd
import time:       491 |        491 |         grp
import time:       397 |       1238 |       pathlib._local
import time:       200 |       2139 |     pathlib
import time:       370 |        370 |       _uuid
import time:       388 |        757 |     uuid
import time:       703 |        703 |         _socket
import time:       842 |       1544 |       typing_extensions
import time:       225 |       1769 |     typer._typing
import time:       327 |        327 |         click.shell_completion
import time:        32 |         32 |               _locale
import time:       604 |        635 |             locale
import time:       432 |        432 |             signal
import time:       460 |        460 |             fcntl
import time:        34 |         34 |             msvcrt
import time:       486 |        486 |             _posixsubprocess
import time:       524 |        524 |             select
import time:       514 |        514 |               math
import time:       447 |        960 |             selectors
import time:       459 |       3986 |           subprocess
import time:       187 |        187 |             shellingham._core
import time:       230 |        417 |           shellingham
import time:       350 |       4751 |         typer._completion_shared
import time:       280 |       5357 |       typer._completion_classes
import time:       466 |        466 |       typer.models
import time:       313 |        313 |       typer.params
import time:       232 |        232 |         copy
import time:       267 |        498 |       typer.utils
import time:       295 |       6929 |     typer.completion
import time:       147 |        147 |         rich._extension
import time:       304 |        451 |       rich
import time:       121 |        121 |           rich._loop
import time:      1767 |       1887 |         rich.box
import time:        19 |         19 |                     _string
import time:      2624 |       2643 |                   string
import time:        18 |         18 |                   atexit
import time:      3778 |       6438 |                 logging
import time:       221 |        221 |                   __future__
import time:       166 |        166 |                   rich._cell_widths
import time:       355 |        741 |                 rich.cells
import time:       346 |        346 |                 rich.repr
import time:       453 |        453 |                       _bisect
import time:        99 |        551 |                     bisect
import time:       452 |        452 |                     _random
import time:       430 |       1433 |                   random
import time:       148 |        148 |                   rich.errors
import time:       186 |        186 |                     colorsys
import time:       207 |        207 |                         rich.color_triplet
import time:       138 |        345 |                       rich.palette
import time:        99 |        443 |                     rich._palettes
import time:       132 |        132 |                     rich.terminal_theme
import time:       676 |       1436 |                   rich.color
import time:       613 |       3628 |                 rich.style
import time:       690 |      11841 |               rich.segment
import time:       443 |      12283 |             rich.jupyter
import time:        89 |         89 |               rich.protocol
import time:       195 |        283 |             rich.measure
import time:       101 |      12667 |           rich.constrain
import time:       280 |      12946 |         rich.align
import time:       459 |        459 |             dataclasses
import time:       733 |        733 |               termios
import time:       236 |        968 |             getpass
import time:       762 |        762 |               html.entities
import time:       305 |       1066 |             html
import time:       171 |        171 |             rich._null_file
import time:       413 |        413 |               rich.default_styles
import time:       833 |        833 |                 configparser
import time:       155 |        987 |               rich.theme
import time:       104 |       1503 |             rich.themes
import time:      1099 |       1099 |               rich._emoji_codes
import time:       189 |       1288 |             rich._emoji_replace
import time:        97 |         97 |             rich._export_format
import time:       100 |        100 |             rich._fileno
import time:        82 |         82 |                 rich._pick
import time:       113 |        113 |                 rich._wrap
import time:       351 |        351 |                 rich.containers
import time:       392 |        392 |                 rich.control
import time:       149 |        149 |                 rich.emoji
import time:       675 |       1760 |               rich.text
import time:       137 |       1897 |             rich._log_render
import time:       189 |        189 |             rich.highlighter
import time:       319 |        319 |             rich.markup
import time:       116 |        116 |             rich.pager
import time:       511 |        511 |               array
import time:        33 |         33 |               attr
import time:       101 |        101 |               rich.abc
import time:      1076 |       1720 |             rich.pretty
import time:       168 |        168 |             rich.region
import time:       132 |        132 |                 rich.padding
import time:       293 |        425 |               rich.panel
import time:       464 |        464 |                         numbers
import time:      1223 |       1687 |                       _decimal
import time:       148 |       1834 |                     decimal
import time:       810 |       2644 |                   fractions
import time:       154 |       2798 |                 rich._ratio
import time:       993 |       3790 |               rich.table
import time:       116 |       4330 |             rich.scope
import time:       133 |        133 |             rich.screen
import time:       101 |        101 |             rich.styled
import time:      1624 |      16241 |           rich.console
import time:       277 |      16518 |         rich.columns
import time:        76 |         76 |                     markdown_it.common
import time:       241 |        241 |                     markdown_it.common.entities
import time:      1558 |       1874 |                   markdown_it.common.utils
import time:       135 |       2008 |                 markdown_it.helpers.parse_link_destination
import time:        74 |         74 |                         markdown_it._compat
import time:       248 |        248 |                           markdown_it.utils
import time:       537 |        785 |                         markdown_it.ruler
import time:       565 |        565 |                         markdown_it.token
import time:       391 |       1814 |                       markdown_it.rules_inline.state_inline
import time:       133 |       1946 |                     markdown_it.rules_inline.emphasis
import time:       106 |        106 |                     markdown_it.rules_inline.strikethrough
import time:       228 |        228 |                     markdown_it.rules_inline.autolink
import time:       111 |        111 |                     markdown_it.rules_inline.backticks
import time:        92 |         92 |                     markdown_it.rules_inline.balance_pairs
import time:       272 |        272 |                     markdown_it.rules_inline.entity
import time:       101 |        101 |                     markdown_it.rules_inline.escape
import time:        76 |         76 |                     markdown_it.rules_inline.fragments_join
import time:       611 |        611 |                       markdown_it.common.html_re
import time:        85 |        695 |                     markdown_it.rules_inline.html_inline
import time:       111 |        111 |                     markdown_it.rules_inline.image
import time:       124 |        124 |                     markdown_it.rules_inline.link
import time:       328 |        328 |                     markdown_it.rules_inline.linkify
import time:        87 |         87 |                     markdown_it.rules_inline.newline
import time:        83 |         83 |                     markdown_it.rules_inline.text
import time:       157 |       4511 |                   markdown_it.rules_inline
import time:       105 |       4616 |                 markdown_it.helpers.parse_link_label
import time:        91 |         91 |                 markdown_it.helpers.parse_link_title
import time:        95 |       6808 |               markdown_it.helpers
import time:       125 |        125 |                 markdown_it.presets.commonmark
import time:        73 |         73 |                 markdown_it.presets.default
import time:        74 |         74 |                 markdown_it.presets.zero
import time:       118 |        390 |               markdown_it.presets
import time:       208 |        208 |                   urllib
import time:       732 |        732 |                   ipaddress
import time:       907 |       1846 |                 urllib.parse
import time:       214 |        214 |                   mdurl._decode
import time:       102 |        102 |                   mdurl._encode
import time:       128 |        128 |                   mdurl._format
import time:       241 |        241 |                     mdurl._url
import time:       360 |        600 |                   mdurl._parse
import time:       384 |       1427 |                 mdurl
import time:       266 |        266 |                 markdown_it._punycode
import time:       177 |       3714 |               markdown_it.common.normalize_url
import time:       116 |        116 |                     markdown_it.rules_block.state_block
import time:       161 |        276 |                   markdown_it.rules_block.blockquote
import time:        78 |         78 |                   markdown_it.rules_block.code
import time:        85 |         85 |                   markdown_it.rules_block.fence
import time:        79 |         79 |                   markdown_it.rules_block.heading
import time:        82 |         82 |                   markdown_it.rules_block.hr
import time:        83 |         83 |                     markdown_it.common.html_blocks
import time:       676 |        759 |                   markdown_it.rules_block.html_block
import time:       116 |        116 |                   markdown_it.rules_block.lheading
import time:       129 |        129 |                   markdown_it.rules_block.list
import time:       109 |        109 |                   markdown_it.rules_block.paragraph
import time:       120 |        120 |                   markdown_it.rules_block.reference
import time:       160 |        160 |                   markdown_it.rules_block.table
import time:       146 |       2134 |                 markdown_it.rules_block
import time:       146 |       2280 |               markdown_it.parser_block
import time:        95 |         95 |                     markdown_it.rules_core.state_core
import time:       152 |        247 |                   markdown_it.rules_core.block
import time:        81 |         81 |                   markdown_it.rules_core.inline
import time:       241 |        241 |                   markdown_it.rules_core.linkify
import time:       132 |        132 |                   markdown_it.rules_core.normalize
import time:       387 |        387 |                   markdown_it.rules_core.replacements
import time:       229 |        229 |                   markdown_it.rules_core.smartquotes
import time:       204 |        204 |                   markdown_it.rules_core.text_join
import time:       126 |       1644 |                 markdown_it.rules_core
import time:       125 |       1768 |               markdown_it.parser_core
import time:       181 |        181 |               markdown_it.parser_inline
import time:       227 |        227 |               markdown_it.renderer
import time:        44 |         44 |               linkify_it
import time:       417 |      15826 |             markdown_it.main
import time:       124 |      15949 |           markdown_it
import time:       218 |        218 |           rich._stack
import time:       138 |        138 |           rich.rule
import time:       134 |        134 |               pygments
import time:       107 |        107 |               pygments.filter
import time:       448 |        448 |                 pygments.token
import time:       488 |        488 |                 pygments.util
import time:       555 |        555 |                           _json
import time:       260 |        814 |                         json.scanner
import time:       299 |       1113 |                       json.decoder
import time:       266 |        266 |                       json.encoder
import time:       236 |       1614 |                     json
import time:       214 |        214 |                     email
import time:       530 |        530 |                       binascii
import time:       565 |        565 |                         _struct
import time:       211 |        775 |                       struct
import time:       245 |        245 |                         zipfile._path.glob
import time:       388 |        632 |                       zipfile._path
import time:       652 |       2588 |                     zipfile
import time:       174 |        174 |                     importlib.metadata._meta
import time:       186 |        186 |                     importlib.metadata._collections
import time:        87 |         87 |                     importlib.metadata._functools
import time:        77 |         77 |                     importlib.metadata._itertools
import time:       458 |        458 |                           tempfile
import time:       362 |        362 |                           importlib.resources.abc
import time:       317 |       1136 |                         importlib.resources._common
import time:       183 |        183 |                         importlib.resources._functional
import time:       199 |       1517 |                       importlib.resources
import time:       324 |       1840 |                     importlib.abc
import time:       615 |       7392 |                   importlib.metadata
import time:        93 |       7485 |                 pygments.plugin
import time:       426 |       8846 |               pygments.filters
import time:       234 |        234 |               pygments.regexopt
import time:       543 |       9862 |             pygments.lexer
import time:      1009 |       1009 |               pygments.lexers._mapping
import time:       164 |        164 |               pygments.modeline
import time:       248 |       1420 |             pygments.lexers
import time:       251 |        251 |             pygments.style
import time:       134 |        134 |               pygments.styles._mapping
import time:       113 |        246 |             pygments.styles
import time:       684 |      12462 |           rich.syntax
import time:       534 |      29300 |         rich.markdown
import time:       530 |      61179 |       typer.rich_utils
import time:       558 |      62187 |     typer.core
import time:      1258 |       1258 |     rich.traceback
import time:       545 |      77016 |   typer.main
import time:       302 |      98495 | typer
import time:       208 |        208 |     matrix_cli
import time:       140 |        347 |   matrix_cli.modules
import time:       182 |        182 |       concurrent
import time:       463 |        463 |       concurrent.futures._base
import time:       182 |        826 |     concurrent.futures
import time:       415 |        415 |           _heapq
import time:       201 |        616 |         heapq
import time:       818 |        818 |         _queue
import time:       254 |       1687 |       queue
import time:       221 |       1908 |     concurrent.futures.thread
import time:       286 |        286 |         tqdm._monitor
import time:       177 |        177 |         tqdm._tqdm_pandas
import time:       838 |        838 |               unicodedata
import time:       322 |       1159 |             tqdm.utils
import time:       563 |       1721 |           tqdm.std
import time:       137 |        137 |             tqdm._dist_ver
import time:       223 |        359 |           tqdm.version
import time:       569 |       2649 |         tqdm.cli
import time:       235 |        235 |         tqdm.gui
import time:       265 |       3609 |       tqdm
import time:       670 |        670 |         mmap
import time:       178 |        178 |         rich.filesize
import time:       410 |        410 |             rich.ansi
import time:       157 |        566 |           rich.file_proxy
import time:       252 |        252 |           rich.live_render
import time:       300 |       1118 |         rich.live
import time:       243 |        243 |         rich.progress_bar
import time:       226 |        226 |           rich._spinners
import time:       228 |        454 |         rich.spinner
import time:      1261 |       3921 |       rich.progress
import time:       188 |       7717 |     tqdm.rich
import time:       583 |        583 |               socket
import time:      3534 |       3534 |                 _ssl
import time:       320 |        320 |                 base64
import time:      1134 |       4988 |               ssl
import time:       246 |        246 |               asyncio.constants
import time:       208 |        208 |               asyncio.coroutines
import time:       429 |        429 |                   _contextvars
import time:       169 |        597 |                 contextvars
import time:       177 |        177 |                 asyncio.format_helpers
import time:       187 |        187 |                   asyncio.base_futures
import time:       186 |        186 |                   asyncio.exceptions
import time:       181 |        181 |                   asyncio.base_tasks
import time:       532 |       1085 |                 _asyncio
import time:       401 |       2259 |               asyncio.events
import time:       269 |        269 |               asyncio.futures
import time:       228 |        228 |               asyncio.protocols
import time:       355 |        355 |                 asyncio.transports
import time:        75 |         75 |                 asyncio.log
import time:       435 |        865 |               asyncio.sslproto
import time:        78 |         78 |                   asyncio.mixins
import time:       346 |        423 |                 asyncio.locks
import time:       248 |        248 |                   asyncio.queues
import time:       285 |        285 |                   asyncio.timeouts
import time:       330 |        862 |                 asyncio.tasks
import time:       215 |       1499 |               asyncio.staggered
import time:       205 |        205 |               asyncio.trsock
import time:       577 |      11922 |             asyncio.base_events
import time:       257 |        257 |             asyncio.runners
import time:       288 |        288 |             asyncio.streams
import time:       222 |        222 |             asyncio.subprocess
import time:       161 |        161 |             asyncio.taskgroups
import time:        78 |         78 |             asyncio.threads
import time:       242 |        242 |               asyncio.base_subprocess
import time:       577 |        577 |               asyncio.selector_events
import time:       484 |       1301 |             asyncio.unix_events
import time:       218 |      14446 |           asyncio
import time:       183 |        183 |             pkgutil
import time:        33 |         33 |               _wmi
import time:       453 |        486 |             platform
import time:       348 |        348 |             sysconfig
import time:       163 |        163 |               _pyrepl
import time:       267 |        429 |             _pyrepl.pager
import time:       437 |        437 |             _sysconfigdata__darwin_darwin
import time:       221 |        221 |             _osx_support
import time:      1173 |       3275 |           pydoc
import time:       247 |        247 |               _compat_pickle
import time:       546 |        546 |               _pickle
import time:       655 |       1447 |             pickle
import time:      1303 |       1303 |               _hashlib
import time:       468 |        468 |               _blake2
import time:       285 |       2055 |             hashlib
import time:       267 |       3768 |           joblib.hashing
import time:       336 |        336 |                   multiprocessing.process
import time:       248 |        248 |                   multiprocessing.reduction
import time:       372 |        956 |                 multiprocessing.context
import time:       200 |       1155 |               multiprocessing
import time:       172 |        172 |               multiprocessing.util
import time:       180 |        180 |                     numpy._utils._convertions
import time:       208 |        388 |                   numpy._utils
import time:       311 |        698 |                 numpy._globals
import time:       479 |        479 |                 numpy._expired_attrs_2_0
import time:        86 |         86 |                 numpy.version
import time:        13 |         13 |                   numpy._distributor_init_local
import time:        88 |        100 |                 numpy._distributor_init
import time:       216 |        216 |                           numpy._utils._inspect
import time:       255 |        255 |                             numpy.exceptions
import time:       249 |        249 |                             numpy._core._exceptions
import time:        95 |         95 |                             numpy._core.printoptions
import time:       153 |        153 |                             numpy.dtypes
import time:      6243 |       6992 |                           numpy._core._multiarray_umath
import time:       252 |       7459 |                         numpy._core.overrides
import time:       429 |       7887 |                       numpy._core.multiarray
import time:       116 |        116 |                       numpy._core.umath
import time:        82 |         82 |                         numpy._core._string_helpers
import time:       186 |        186 |                         numpy._core._type_aliases
import time:       236 |        236 |                         numpy._core._dtype
import time:       281 |        784 |                       numpy._core.numerictypes
import time:       278 |        278 |                               numpy._core._ufunc_config
import time:       135 |        413 |                             numpy._core._methods
import time:       485 |        897 |                           numpy._core.fromnumeric
import time:       266 |       1163 |                         numpy._core.shape_base
import time:       413 |        413 |                         numpy._core.arrayprint
import time:       229 |        229 |                         numpy._core._asarray
import time:       495 |       2299 |                       numpy._core.numeric
import time:       190 |        190 |                       numpy._core.records
import time:       232 |        232 |                       numpy._core.memmap
import time:       124 |        124 |                       numpy._core.function_base
import time:        91 |         91 |                       numpy._core._machar
import time:       158 |        158 |                       numpy._core.getlimits
import time:       146 |        146 |                       numpy._core.einsumfunc
import time:       590 |        590 |                       numpy._core._add_newdocs
import time:       367 |        367 |                       numpy._core._add_newdocs_scalars
import time:       164 |        164 |                       numpy._core._dtype_ctypes
import time:       708 |        708 |                           _ctypes
import time:       312 |        312 |                           ctypes._endian
import time:       563 |       1582 |                         ctypes
import time:       358 |       1940 |                       numpy._core._internal
import time:       190 |        190 |                       numpy._pytesttester
import time:       485 |      15754 |                     numpy._core
import time:        11 |      15764 |                   numpy._core._multiarray_umath
import time:       237 |      16001 |                 numpy.__config__
import time:       449 |        449 |                     numpy.lib._array_utils_impl
import time:       208 |        656 |                   numpy.lib.array_utils
import time:        74 |         74 |                   numpy.lib.introspect
import time:       110 |        110 |                   numpy.lib.mixins
import time:       257 |        257 |                         numpy.lib._utils_impl
import time:       296 |        552 |                       numpy.lib.format
import time:       297 |        297 |                       numpy.lib._datasource
import time:       182 |        182 |                       numpy.lib._iotools
import time:       520 |       1549 |                     numpy.lib._npyio_impl
import time:        70 |       1619 |                   numpy.lib.npyio
import time:       175 |        175 |                         numpy.lib._ufunclike_impl
import time:       147 |        322 |                       numpy.lib._type_check_impl
import time:       510 |        831 |                     numpy.lib._scimath_impl
import time:        73 |        903 |                   numpy.lib.scimath
import time:       127 |        127 |                     numpy.lib._stride_tricks_impl
import time:        83 |        210 |                   numpy.lib.stride_tricks
import time:        94 |         94 |                           numpy.linalg.linalg
import time:       161 |        161 |                             numpy.lib._twodim_base_impl
import time:      1025 |       1025 |                             numpy.linalg._umath_linalg
import time:       201 |        201 |                               numpy._typing._nested_sequence
import time:        88 |         88 |                               numpy._typing._nbit
import time:       902 |        902 |                               numpy._typing._char_codes
import time:       106 |        106 |                               numpy._typing._scalars
import time:        79 |         79 |                               numpy._typing._shape
import time:      2073 |       2073 |                               numpy._typing._dtype_like
import time:      1008 |       1008 |                               numpy._typing._array_like
import time:       308 |       4761 |                             numpy._typing
import time:       601 |       6547 |                           numpy.linalg._linalg
import time:       100 |       6740 |                         numpy.linalg
import time:       183 |       6922 |                       numpy.matrixlib.defmatrix
import time:        95 |       7016 |                     numpy.matrixlib
import time:       307 |        307 |                       numpy.lib._histograms_impl
import time:       663 |        969 |                     numpy.lib._function_base_impl
import time:       218 |       8202 |                   numpy.lib._index_tricks_impl
import time:       405 |        405 |                   numpy.lib._nanfunctions_impl
import time:       302 |        302 |                   numpy.lib._shape_base_impl
import time:       476 |        476 |                   numpy.lib._arraysetops_impl
import time:       402 |        402 |                   numpy.lib._polynomial_impl
import time:       203 |        203 |                   numpy.lib._arrayterator_impl
import time:       268 |        268 |                   numpy.lib._arraypad_impl
import time:       103 |        103 |                   numpy.lib._version
import time:       335 |      14263 |                 numpy.lib
import time:       235 |        235 |                 numpy._array_api_info
import time:      2042 |      33901 |               numpy
import time:       265 |      35492 |             joblib.backports
import time:       239 |        239 |             joblib.disk
import time:       461 |        461 |               pprint
import time:       171 |        632 |             joblib.logger
import time:        29 |         29 |                 lz4
import time:       462 |        491 |               joblib.compressor
import time:       218 |        218 |               joblib.numpy_pickle_utils
import time:       231 |        231 |               joblib.numpy_pickle_compat
import time:       260 |       1199 |             joblib.numpy_pickle
import time:       362 |      37923 |           joblib._store_backends
import time:       278 |        278 |           joblib.func_inspect
import time:       419 |      60106 |         joblib.memory
import time:       709 |        709 |             _multiprocessing
import time:       227 |        936 |           joblib._multiprocessing_helpers
import time:        21 |         21 |             gc
import time:       187 |        187 |                   joblib.externals
import time:       455 |        455 |                   joblib.externals.loky._base
import time:       302 |        302 |                       multiprocessing.synchronize
import time:       166 |        166 |                         joblib.externals.loky.backend.process
import time:        32 |         32 |                             _winapi
import time:       397 |        429 |                           multiprocessing.connection
import time:       318 |        318 |                           multiprocessing.queues
import time:      1411 |       2157 |                         concurrent.futures.process
import time:       286 |       2609 |                       joblib.externals.loky.backend.context
import time:       144 |       3053 |                     joblib.externals.loky.backend
import time:        11 |       3064 |                   joblib.externals.loky.backend.context
import time:       197 |        197 |                     joblib.externals.loky.backend._posix_reduction
import time:       853 |        853 |                       joblib.externals.cloudpickle.cloudpickle
import time:       218 |       1070 |                     joblib.externals.cloudpickle
import time:       271 |       1536 |                   joblib.externals.loky.backend.reduction
import time:       124 |        124 |                       joblib.externals.loky.backend.queues
import time:        33 |         33 |                         psutil
import time:       219 |        251 |                       joblib.externals.loky.backend.utils
import time:       145 |        145 |                       joblib.externals.loky.initializers
import time:        27 |         27 |                       psutil
import time:       497 |       1043 |                     joblib.externals.loky.process_executor
import time:       131 |       1173 |                   joblib.externals.loky.reusable_executor
import time:       129 |        129 |                   joblib.externals.loky.cloudpickle_wrapper
import time:       244 |       6785 |                 joblib.externals.loky
import time:        10 |       6794 |               joblib.externals.loky.process_executor
import time:       350 |       7143 |             joblib._utils
import time:       230 |        230 |                     runpy
import time:       111 |        341 |                   joblib.externals.loky.backend.spawn
import time:       261 |        602 |                 joblib.externals.loky.backend.resource_tracker
import time:       276 |        878 |               joblib._memmapping_reducer
import time:       409 |        409 |               multiprocessing.pool
import time:       298 |       1584 |             joblib.pool
import time:       262 |        262 |             joblib.executor
import time:       243 |       9250 |           joblib._parallel_backends
import time:       399 |      10584 |         joblib.parallel
import time:       176 |        176 |         joblib._cloudpickle_wrapper
import time:       248 |      71112 |       joblib
import time:       209 |      71321 |     matrix_cli.cache
import time:       202 |        202 |           pydantic.version
import time:       263 |        464 |         pydantic._migration
import time:       289 |        289 |         pydantic.errors
import time:       281 |       1033 |       pydantic
import time:      4629 |       4629 |         pydantic_core._pydantic_core
import time:      4292 |       4292 |         pydantic_core.core_schema
import time:       391 |       9311 |       pydantic_core
import time:       295 |        295 |       pydantic._internal
import time:       169 |        169 |           pydantic._internal._internal_dataclass
import time:       790 |        959 |         pydantic.aliases
import time:       589 |        589 |         pydantic.config
import time:       314 |        314 |         pydantic.warnings
import time:       394 |       2255 |       pydantic._internal._config
import time:       286 |        286 |                 zoneinfo._tzpath
import time:       183 |        183 |                 zoneinfo._common
import time:       568 |        568 |                 _zoneinfo
import time:       233 |       1268 |               zoneinfo
import time:       347 |       1614 |             pydantic._internal._typing_extra
import time:       143 |       1757 |           pydantic._internal._repr
import time:       390 |       2146 |         pydantic._internal._core_utils
import time:      1897 |       4042 |       pydantic._internal._decorators
import time:       114 |        114 |         pydantic._internal._docs_extraction
import time:       231 |        231 |         pydantic._internal._import_utils
import time:       313 |        657 |       pydantic._internal._fields
import time:       348 |        348 |       pydantic._internal._forward_ref
import time:       598 |        598 |         pydantic._internal._utils
import time:       375 |        972 |       pydantic._internal._generics
import time:       278 |        278 |           pydantic.plugin
import time:       170 |        448 |         pydantic.plugin._schema_validator
import time:       298 |        746 |       pydantic._internal._mock_val_ser
import time:       106 |        106 |           pydantic.annotated_handlers
import time:       156 |        156 |             pydantic._internal._core_metadata
import time:      1390 |       1545 |           pydantic.functional_validators
import time:       144 |        144 |             pydantic._internal._schema_generation_shared
import time:      1224 |       1368 |           pydantic.json_schema
import time:       308 |        308 |           pydantic._internal._discriminated_union
import time:       246 |        246 |           pydantic._internal._known_annotated_metadata
import time:       781 |       4352 |         pydantic._internal._generate_schema
import time:       227 |        227 |         pydantic._internal._signature
import time:       204 |        204 |         pydantic._internal._validate_call
import time:       345 |       5127 |       pydantic._internal._model_construction
import time:      2770 |       2770 |       annotated_types
import time:       276 |        276 |       pydantic._internal._validators
import time:      2388 |       2388 |       pydantic.types
import time:       184 |        184 |         pydantic._internal._serializers
import time:       848 |       1031 |       pydantic._internal._std_types_schema
import time:       260 |        260 |       pydantic.plugin._loader
import time:     18514 |      50017 |     matrix_cli.models
import time:       686 |        686 |           argparse
import time:       229 |        229 |             pydantic._internal._dataclasses
import time:       337 |        565 |           pydantic.dataclasses
import time:       285 |        285 |             shlex
