id	name	new_id
MONDO:0007704	Obsolete Heberden node	
UMLS:C1334667	Obsolete Malignant peripheral nerve sheath tumor (MPNST) of mediastinum	
UMLS:C1334668	Obsolete Mediastinal melanocytic neurilemmoma	MONDO:0003894
UMLS:C1334669	Obsolete Mediastinal mesenchymal tumor	MONDO:0003512
UMLS:C1334670	Obsolete Teratocarcinoma of mediastinum	
UMLS:C1334671	Obsolete Mediastinal Mixed Nongerminomatous Germ Cell Tumor	
UMLS:C1334672	Obsolete Mediastinal neural neoplasm	MONDO:0003098
UMLS:C1334673	Obsolete Mediastinum neuroblastoma	MONDO:0001095
UMLS:C1334674	Obsolete Mediastinum neurofibroma	MONDO:0001426
UMLS:C1334675	Obsolete Mediastinal extraskeletal osteosarcoma	MONDO:0003808
UMLS:C1334680	Obsolete Mediastinum seminoma	MONDO:0003826
UMLS:C1334681	Obsolete Mediastinum synovial sarcoma	MONDO:0003467
UMLS:C1334682	Obsolete Mediastinum teratoma	MONDO:0003518
UMLS:C1334676	Obsolete Mediastinal Rhabdomyoma	
UMLS:C1334677	Obsolete Mediastinum rhabdomyosarcoma	MONDO:0002851
UMLS:C1334678	Obsolete Mediastinum sarcoma	MONDO:0002852
UMLS:C1334679	Obsolete Mediastinal schwannoma	MONDO:0004398
