id	name
MONDO:0033642	Bachmann-Bupp syndrome
MONDO:0012727	Kawasaki disease
MONDO:0006412	Rosai-Dorfman disease
MONDO:0021165	Paget's cell neoplasm
MONDO:0005382	Paget disease of bone
MONDO:0009426	Sanjad-Sakati syndrome
MONDO:0019262	Batten disease
MONDO:0006820	Renal cortical necrosis
MONDO:0006835	Minimal change disease
MONDO:0001803	Bullous myringitis
MONDO:0001889	Ovarian insufficiency
MONDO:0800029	Idiopathic pulmonary fibrosis
MONDO:0011323	Bosma arhinia microphthalmia syndrome
MONDO:0014512	PURA syndrome
MONDO:0009669	Werdnig-Hoffmann Disease
MONDO:0032919	Shine Syndrome
MONDO:0100527	Kozlowski-Tsuruta syndrome
MONDO:0009693	Multiple myeloma
MONDO:0018489	Anti-IgLON5 disease
MONDO:0024574	Von Willebrand disease
MONDO:0010039	Sonoda syndrome
MONDO:0017227	Lymphoplasmacytic sclerosing pancreatitis
MONDO:0017228	Duct-centric pancreatitis
MONDO:0015129	Addison disease
MONDO:0016583	Stalker-Chitayat syndrome
MONDO:0016779	Kagami-Ogata syndrome
MONDO:0042600	De Sanctis-Cacchione syndrome
MONDO:0015748	White sponge nevus
MONDO:0014527	Ruijs-Aalfs syndrome
MONDO:0017407	David syndrome
MONDO:0023650	Littoral cell angioma
MONDO:0001099	Galactocele
MONDO:0003537	T-lymphoblastic lymphoma/leukemia
MONDO:0008935	Gordon-Holmes syndrome
MONDO:0018820	TANGO2 deficiency syndrome
