source,target
node_183,node_12
node_171,node_169
node_37,node_12
node_490,node_442
node_395,node_282
node_472,node_488
node_135,node_48
node_168,node_210
node_175,node_91
node_15,node_177
node_49,node_264
node_227,node_28
node_354,node_260
node_346,node_270
node_122,node_274
node_430,node_318
node_298,node_43
node_121,node_236
node_85,node_214
node_95,node_26
node_446,node_228
node_209,node_409
node_21,node_377
node_379,node_374
node_117,node_309
node_156,node_413
node_17,node_370
node_339,node_108
node_25,node_318
node_172,node_128
node_218,node_149
node_436,node_304
node_31,node_428
node_347,node_270
node_215,node_241
node_430,node_23
node_232,node_155
node_178,node_257
node_327,node_448
node_370,node_279
node_185,node_12
node_383,node_82
node_500,node_409
node_185,node_21
node_89,node_17
node_319,node_256
node_44,node_350
node_253,node_443
node_431,node_422
node_262,node_205
