id,name,mean,max,count_in_10,count_in_20
RTX:102,name_102,0.18831929217916554,0.948716,2,2
RTX:218,name_218,0.30237051197327675,0.9629571,2,4
RTX:250,name_250,0.3193004828567306,0.9509661,2,3
RTX:135,name_135,0.3476309083402157,0.9337683,1,1
RTX:166,name_166,0.28195736124325776,0.9595621,1,2
RTX:460,name_460,0.242534881758426,0.8907828,1,1
RTX:475,name_475,0.35803525851448426,0.9641432,1,3
RTX:122,name_122,0.02832825928053353,0.32458723,0,0
RTX:171,name_171,0.03465916980640031,0.28562257,0,0
RTX:184,name_184,0.0007951976967888186,0.0040563974,0,0
RTX:186,,0.016772637434769422,0.052027885,0,0
RTX:2,,0.24542735087183806,0.8404501,0,1
RTX:217,name_217,0.007662565117061604,0.050570887,0,0
RTX:241,name_241,0.3096334546302947,0.8843391,0,1
RTX:269,name_269,0.014495994108181228,0.05982436,0,0
RTX:307,,0.02733008536354949,0.19114916,0,0
RTX:348,name_348,0.08609112093690782,0.3621104,0,0
RTX:352,name_352,0.1688437622233323,0.80485076,0,0
RTX:375,name_375,0.13480678561415213,0.79401857,0,0
RTX:380,,0.008663360154605471,0.06679232,0,0
RTX:384,,0.026195852053933776,0.11513365,0,0
RTX:396,name_396,0.059209398707025684,0.39435688,0,0
RTX:405,name_405,0.09781618910427722,0.47470066,0,0
RTX:448,name_448,0.08030087696662282,0.4511226,0,0
RTX:467,,0.09079683451273013,0.7079355,0,0
RTX:483,name_483,0.01107661881869717,0.104768984,0,0
RTX:497,name_497,0.26495370650913436,0.83888596,0,1
RTX:70,name_70,0.15559522067196668,0.82376814,0,1
RTX:86,name_86,0.008476141979917884,0.07408131,0,0
RTX:91,name_91,0.011394812606158666,0.058606442,0,0
