drug_name,disease_name,drug_id,disease_id,treat score,not treat score,unknown score
name_340,name_475,RTX:340,RTX:475,0.9641432,0.029845959,0.0060108197
name_209,name_218,RTX:209,RTX:218,0.9629571,0.0010116221,0.036031246
name_431,name_166,RTX:431,RTX:166,0.9595621,0.00070874515,0.039729133
name_431,name_218,RTX:431,RTX:218,0.9513777,0.00012626781,0.04849593
,name_250,RTX:486,RTX:250,0.9509661,0.024836667,0.024197228
name_209,name_102,RTX:209,RTX:102,0.948716,0.04570697,0.0055770115
name_431,name_135,RTX:431,RTX:135,0.9337683,0.0003841821,0.06584755
name_123,name_250,RTX:123,RTX:250,0.9152753,0.04811142,0.03661329
name_352,name_102,RTX:352,RTX:102,0.89976627,0.0026617239,0.09757191
name_260,name_460,RTX:260,RTX:460,0.8907828,0.07891259,0.030304635
